incident_id,type,severity,shipment_id,route_id,driver_id,vehicle_id,hub_id,occurred_at,summary
INC-2025-00002,weather,3,,RTE-CIN-20250422-001,,,HUB-CIN,2025-04-22T14:12:00,Weather event (severity 3) at Cincinnati.
INC-2025-00003,damage,4,SHP-202508-000115,,,,HUB-IND,2025-02-19T09:21:00,Damage event (severity 4) at Indianapolis.
INC-2025-00004,weather,1,,,,,HUB-CIN,2025-02-27T16:45:00,Weather event (severity 1) at Cincinnati.
INC-2025-00005,delay,1,SHP-202510-000205,RTE-CMH-20250409-002,DRV-01036,,HUB-CMH,2025-04-09T16:18:00,Delay event (severity 1) at Columbus.
INC-2025-00006,mispick,1,,RTE-IND-20251226-001,,VEH-0016,HUB-IND,2025-12-26T16:42:00,Mispick event (severity 1) at Indianapolis.
INC-2025-00009,weather,1,,RTE-CIN-20251102-001,DRV-01034,,HUB-CIN,2025-11-02T13:59:00,Weather event (severity 1) at Cincinnati.
INC-2025-00010,damage,1,SHP-202511-000386,RTE-DET-20250124-002,DRV-01004,VEH-0030,HUB-DET,2025-01-24T19:54:00,Damage event (severity 1) at Detroit.
INC-2025-00011,delay,1,,RTE-DET-20250825-002,DRV-01014,,HUB-DET,2025-08-25T06:40:00,Delay event (severity 1) at Detroit.
INC-2025-00013,damage,2,SHP-202504-000113,RTE-CIN-20250526-002,DRV-01023,,HUB-CIN,2025-05-26T07:34:00,Damage event (severity 2) at Cincinnati.
INC-2025-00014,damage,1,SHP-202512-000405,,,,HUB-CMH,2025-05-11T08:02:00,Damage event (severity 1) at Columbus.
INC-2025-00015,damage,1,,,,,HUB-CIN,2025-09-17T10:01:00,Damage event (severity 1) at Cincinnati.
INC-2025-00019,delay,1,SHP-202511-000121,,,,HUB-CHI,2025-10-07T20:42:00,Delay event (severity 1) at Chicago.
INC-2025-00020,damage,4,SHP-202509-000236,,,,HUB-CMH,2025-01-17T09:31:00,Damage event (severity 4) at Columbus.
INC-2025-00021,weather,1,SHP-202508-000053,RTE-IND-20250101-003,DRV-01045,VEH-0016,HUB-IND,2025-01-01T14:30:00,Weather event (severity 1) at Indianapolis.
INC-2025-00023,delay,1,,RTE-CMH-20251013-001,DRV-01015,,HUB-CMH,2025-10-13T06:45:00,Delay event (severity 1) at Columbus.
INC-2025-00024,weather,3,,RTE-DET-20250801-001,DRV-01004,,HUB-DET,2025-08-01T17:32:00,Weather event (severity 3) at Detroit.
