driver_id,hub_id,employment_type,hire_date,status,perf_score
DRV-01001,HUB-CMH,contractor,2018-10-11,active,4.85
DRV-01002,HUB-CIN,contractor,2019-06-10,active,4.19
DRV-01003,HUB-CIN,employee,2023-12-02,active,4.63
DRV-01004,HUB-DET,contractor,2024-01-18,active,4.39
DRV-01005,HUB-CHI,contractor,2022-06-23,active,4.89
DRV-01006,HUB-IND,employee,2023-10-21,active,3.75
DRV-01007,HUB-CHI,employee,2021-10-16,active,2.84
DRV-01008,HUB-CIN,employee,2020-06-21,active,2.82
DRV-01009,HUB-CMH,employee,2018-05-09,active,4.61
DRV-01010,HUB-CMH,employee,2021-02-14,active,4.2
DRV-01011,HUB-CHI,employee,2024-05-27,active,4.01
DRV-01012,HUB-CHI,contractor,2022-07-26,active,3.2
DRV-01013,HUB-CMH,contractor,2021-12-22,active,3.69
DRV-01014,HUB-DET,contractor,2018-08-10,active,4.21
DRV-01015,HUB-CMH,employee,2021-10-21,active,4.48
DRV-01016,HUB-CMH,employee,2020-02-19,active,3.93
DRV-01017,HUB-CHI,employee,2021-02-14,active,3.77
DRV-01018,HUB-CMH,employee,2024-03-04,active,3.01
DRV-01019,HUB-CIN,contractor,2019-01-18,active,4.75
DRV-01020,HUB-CHI,employee,2023-06-13,active,3.81
DRV-01021,HUB-DET,contractor,2019-11-06,active,3.6
DRV-01022,HUB-DET,employee,2023-02-07,active,3.4
DRV-01023,HUB-CIN,contractor,2023-06-17,active,3.13
DRV-01024,HUB-IND,employee,2018-08-28,active,4.02
DRV-01025,HUB-CIN,employee,2021-07-08,active,2.92
DRV-01026,HUB-CIN,employee,2023-12-16,active,3.13
DRV-01027,HUB-CIN,employee,2020-02-01,active,2.94
DRV-01028,HUB-CMH,contractor,2020-08-21,active,3.65
DRV-01029,HUB-CIN,employee,2024-09-01,active,2.88
DRV-01030,HUB-CMH,employee,2024-07-18,active,3.99
DRV-01031,HUB-IND,contractor,2020-04-16,active,4.21
DRV-01032,HUB-IND,employee,2022-06-10,active,3.07
DRV-01033,HUB-IND,employee,2018-10-25,active,2.82
DRV-01034,HUB-CIN,contractor,2019-02-14,active,2.95
DRV-01035,HUB-CHI,employee,2019-06-27,active,4.76
DRV-01036,HUB-CMH,contractor,2022-02-22,active,3.4
DRV-01037,HUB-DET,contractor,2021-05-24,active,4.08
DRV-01038,HUB-CIN,employee,2024-03-21,active,3.43
DRV-01039,HUB-CMH,contractor,2019-07-05,active,3.36
DRV-01040,HUB-CMH,contractor,2019-09-29,active,3.37
DRV-01041,HUB-CIN,employee,2021-11-05,active,3.23
DRV-01042,HUB-IND,employee,2020-10-25,active,4.7
DRV-01043,HUB-CMH,employee,2022-10-01,active,4.54
DRV-01044,HUB-CMH,employee,2019-06-20,active,4.14
DRV-01045,HUB-IND,employee,2022-12-15,active,3.96
DRV-01046,HUB-DET,employee,2019-04-04,active,2.96
DRV-01047,HUB-CHI,employee,2022-02-21,active,4.02
DRV-01048,HUB-CHI,employee,2018-06-21,active,3.45
DRV-01049,HUB-CMH,contractor,2020-05-10,active,4.23
DRV-01188,HUB-IND,contractor,2022-06-13,disputed,3.3
