ticket_id,client_id,shipment_id,opened_at,channel,status,csat,body
TKT-200014,CLI-0201,SHP-202508-000160,2025-08-14T14:14:00,email,resolved,1,"[customer] Where is SHP-202508-000160?? Your tracking hasn't updated and my customer is furious. I need answers today.
[agent.dfoster] Thank you for your patience. I've located SHP-202508-000160 in our system (origin HUB-DET). Checking with dispatch now.
[agent.dfoster] Dispatch confirms SHP-202508-000160 will be reattempted next business day. I've flagged your account for a proactive follow-up.
[customer] Okay, thank you. Please keep me posted."
TKT-200222,CLI-0201,SHP-202504-000088,2025-04-06T15:44:00,phone,resolved,5,"[customer] Following up on SHP-202504-000088 — could you send the POD once it's delivered? Accounting needs it.
[agent.mruiz] Attached the POD for SHP-202504-000088. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200017,CLI-0007,SHP-202508-000005,2025-08-06T17:03:00,chat,resolved,1,"[customer] Where is SHP-202508-000005?? Your tracking hasn't updated and my customer is furious. I need answers today.
[agent.tpatel] Thanks for reaching out — I'm sorry for the trouble with SHP-202508-000005. I see it was affected by an exception at our Detroit hub. Let me pull the latest.
[agent.tpatel] Good news — SHP-202508-000005 is back in motion. I'll monitor it through delivery and confirm the POD with you."
TKT-200086,CLI-0169,SHP-202511-000153,2025-11-14T15:57:00,email,resolved,3,"[customer] Hi, I'm checking on shipment SHP-202511-000153. The status shows delayed — can you tell me the latest ETA?
[agent.jbrooks] Thanks for reaching out — I'm sorry for the trouble with SHP-202511-000153. I see it was affected by an exception at our Indianapolis hub. Let me pull the latest.
[agent.jbrooks] Update: SHP-202511-000153 is re-routed and expected to deliver within 48 hours. I've added a note to prioritize it. Anything else I can do?
[customer] Appreciate the quick turnaround."
TKT-200276,CLI-0155,SHP-202504-000006,2025-04-18T09:35:00,phone,resolved,4,"[customer] Hi — quick question on SHP-202504-000006. Can you confirm the delivery window?
[agent.lchen] Attached the POD for SHP-202504-000006. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200207,CLI-0007,SHP-202510-000172,2025-10-30T00:02:00,phone,resolved,5,"[customer] Hi — quick question on SHP-202510-000172. Can you confirm the delivery window?
[agent.lchen] Attached the POD for SHP-202510-000172. Let me know if there's anything else!
[customer] Perfect, thank you!"
TKT-200106,CLI-0169,SHP-202511-000414,2025-11-18T14:46:00,email,resolved,4,"[customer] Hi — quick question on SHP-202511-000414. Can you confirm the delivery window?
[agent.kobrien] Happy to help — SHP-202511-000414 is on schedule out of our Columbus hub; delivery is within the next 1–2 business days.
[customer] Great, appreciate it."
TKT-200224,CLI-0201,SHP-202511-000117,2025-11-04T18:05:00,portal,resolved,5,"[customer] Can you confirm SHP-202511-000117 is still on track to arrive this week?
[agent.tpatel] Sure thing. I've noted the update on SHP-202511-000117 and confirmed it with the Detroit team.
[customer] Great, appreciate it."
TKT-200275,CLI-0155,SHP-202508-000139,2025-08-26T02:00:00,email,resolved,4,"[customer] Hello, I need to update the delivery contact for SHP-202508-000139 if it hasn't gone out yet.
[agent.mruiz] Sure thing. I've noted the update on SHP-202508-000139 and confirmed it with the Indianapolis team.
[customer] Thanks for the quick help."
TKT-200046,CLI-0169,SHP-202511-000362,2025-11-18T21:07:00,email,resolved,4,"[customer] Following up on SHP-202511-000362. Could you confirm whether this will still be delivered this week?
[agent.dfoster] Thank you for your patience. I've located SHP-202511-000362 in our system (origin HUB-CHI). Checking with dispatch now.
[agent.dfoster] Good news — SHP-202511-000362 is back in motion. I'll monitor it through delivery and confirm the POD with you.
[customer] That still isn't good enough but I'll wait for the update."
