route_id,hub_id,driver_id,vehicle_id,service_date,stop_count,exceptions_count,status
RTE-IND-20251216-001,HUB-IND,DRV-01031,VEH-0023,2025-12-16,25,2,completed
RTE-CIN-20250612-001,HUB-CIN,DRV-01026,VEH-0020,2025-06-12,49,0,completed
RTE-CMH-20250422-001,HUB-CMH,DRV-01009,VEH-0021,2025-04-22,56,0,completed
RTE-CHI-20250416-001,HUB-CHI,DRV-01007,VEH-0002,2025-04-16,52,0,completed
RTE-CHI-20250324-001,HUB-CHI,DRV-01005,VEH-0037,2025-03-24,64,0,completed
RTE-CMH-20251025-001,HUB-CMH,DRV-01001,VEH-0012,2025-10-25,52,1,completed
RTE-CMH-20250710-001,HUB-CMH,DRV-01039,VEH-0001,2025-07-10,20,0,completed
RTE-CMH-20250208-001,HUB-CMH,DRV-01030,VEH-0003,2025-02-08,46,5,partial
RTE-CMH-20250805-001,HUB-CMH,DRV-01018,VEH-0038,2025-08-05,48,0,completed
RTE-CHI-20251125-001,HUB-CHI,DRV-01011,VEH-0004,2025-11-25,36,0,completed
RTE-DET-20251021-001,HUB-DET,DRV-01004,VEH-0022,2025-10-21,60,0,completed
RTE-IND-20251126-001,HUB-IND,DRV-01188,VEH-0010,2025-11-26,31,0,completed
RTE-CMH-20250704-001,HUB-CMH,DRV-01044,VEH-0001,2025-07-04,19,0,completed
RTE-CMH-20250722-001,HUB-CMH,DRV-01009,VEH-0001,2025-07-22,58,0,completed
RTE-CIN-20250822-001,HUB-CIN,DRV-01023,VEH-0020,2025-08-22,21,0,completed
RTE-CHI-20250317-001,HUB-CHI,DRV-01012,VEH-0019,2025-03-17,45,0,completed
RTE-CMH-20251203-001,HUB-CMH,DRV-01028,VEH-0031,2025-12-03,22,0,completed
RTE-CIN-20251104-001,HUB-CIN,DRV-01034,VEH-0027,2025-11-04,49,0,completed
RTE-DET-20250821-001,HUB-DET,DRV-01022,VEH-0029,2025-08-21,65,0,completed
RTE-CMH-20250709-001,HUB-CMH,DRV-01013,VEH-0038,2025-07-09,48,0,completed
RTE-CIN-20250213-001,HUB-CIN,DRV-01034,VEH-0020,2025-02-13,57,0,completed
RTE-CMH-20251122-001,HUB-CMH,DRV-01015,VEH-0038,2025-11-22,48,3,completed
RTE-IND-20251028-001,HUB-IND,DRV-01042,VEH-0010,2025-10-28,65,0,completed
RTE-CMH-20250919-001,HUB-CMH,DRV-01039,VEH-0033,2025-09-19,64,0,completed
RTE-CIN-20250228-001,HUB-CIN,DRV-01029,VEH-0032,2025-02-28,19,0,completed
RTE-DET-20251024-001,HUB-DET,DRV-01021,VEH-0011,2025-10-24,33,0,completed
RTE-IND-20250224-001,HUB-IND,DRV-01188,VEH-0023,2025-02-24,38,0,completed
RTE-CHI-20251114-001,HUB-CHI,DRV-01007,VEH-0019,2025-11-14,33,0,completed
RTE-CMH-20250313-001,HUB-CMH,DRV-01016,VEH-0021,2025-03-13,37,0,completed
RTE-CIN-20250501-001,HUB-CIN,DRV-01008,VEH-0026,2025-05-01,23,0,completed
RTE-IND-20250611-001,HUB-IND,DRV-01006,VEH-0013,2025-06-11,32,0,completed
RTE-DET-20250804-001,HUB-DET,DRV-01004,VEH-0022,2025-08-04,21,0,completed
RTE-CHI-20250701-001,HUB-CHI,DRV-01047,VEH-0014,2025-07-01,29,2,completed
RTE-IND-20250622-001,HUB-IND,DRV-01033,VEH-0010,2025-06-22,20,0,completed
RTE-CIN-20250922-001,HUB-CIN,DRV-01038,VEH-0026,2025-09-22,47,0,completed
RTE-CIN-20250915-001,HUB-CIN,DRV-01029,VEH-0036,2025-09-15,55,0,completed
RTE-CHI-20250326-001,HUB-CHI,DRV-01007,VEH-0002,2025-03-26,65,1,partial
RTE-CMH-20250105-001,HUB-CMH,DRV-01043,VEH-0021,2025-01-05,49,0,completed
RTE-CMH-20250204-001,HUB-CMH,DRV-01043,VEH-0007,2025-02-04,36,0,completed
RTE-DET-20251219-001,HUB-DET,DRV-01021,VEH-0029,2025-12-19,52,0,completed
RTE-IND-20250112-001,HUB-IND,DRV-01045,VEH-0013,2025-01-12,48,4,partial
RTE-CHI-20250520-001,HUB-CHI,DRV-01035,VEH-0005,2025-05-20,36,0,completed
RTE-CMH-20250912-001,HUB-CMH,DRV-01040,VEH-0021,2025-09-12,54,0,completed
RTE-CMH-20250829-001,HUB-CMH,DRV-01009,VEH-0001,2025-08-29,25,0,completed
RTE-CMH-20250827-001,HUB-CMH,DRV-01013,VEH-0012,2025-08-27,28,0,completed
RTE-IND-20251204-001,HUB-IND,DRV-01032,VEH-0023,2025-12-04,19,0,completed
RTE-IND-20250310-001,HUB-IND,DRV-01045,VEH-0017,2025-03-10,45,0,completed
RTE-CIN-20251017-001,HUB-CIN,DRV-01027,VEH-0032,2025-10-17,34,0,completed
RTE-IND-20250130-001,HUB-IND,DRV-01032,VEH-0016,2025-01-30,24,0,completed
RTE-CIN-20250815-001,HUB-CIN,DRV-01034,VEH-0032,2025-08-15,50,0,completed
RTE-CHI-20251021-001,HUB-CHI,DRV-01017,VEH-0037,2025-10-21,54,0,completed
RTE-CMH-20250828-001,HUB-CMH,DRV-01015,VEH-0038,2025-08-28,25,3,completed
RTE-CIN-20250217-001,HUB-CIN,DRV-01026,VEH-0036,2025-02-17,36,2,completed
RTE-IND-20250516-001,HUB-IND,DRV-01045,VEH-0023,2025-05-16,41,1,completed
RTE-CIN-20250708-001,HUB-CIN,DRV-01003,VEH-0036,2025-07-08,48,1,completed
RTE-IND-20250321-001,HUB-IND,DRV-01045,VEH-0023,2025-03-21,61,0,completed
RTE-IND-20250115-001,HUB-IND,DRV-01032,VEH-0013,2025-01-15,26,6,partial
RTE-CMH-20250416-001,HUB-CMH,DRV-01009,VEH-0028,2025-04-16,34,1,completed
RTE-CHI-20250114-001,HUB-CHI,DRV-01005,VEH-0037,2025-01-14,18,0,completed
RTE-DET-20250507-001,HUB-DET,DRV-01046,VEH-0030,2025-05-07,31,1,completed
RTE-CHI-20250307-001,HUB-CHI,DRV-01007,VEH-0014,2025-03-07,34,0,completed
RTE-DET-20250806-001,HUB-DET,DRV-01046,VEH-0022,2025-08-06,65,0,completed
RTE-CHI-20251209-001,HUB-CHI,DRV-01020,VEH-0037,2025-12-09,25,4,partial
RTE-IND-20251217-001,HUB-IND,DRV-01033,VEH-0010,2025-12-17,65,6,partial
RTE-IND-20250521-001,HUB-IND,DRV-01042,VEH-0009,2025-05-21,46,0,completed
RTE-CIN-20250612-002,HUB-CIN,DRV-01008,VEH-0026,2025-06-12,51,0,completed
RTE-CIN-20251125-001,HUB-CIN,DRV-01025,VEH-0018,2025-11-25,52,5,partial
RTE-IND-20251203-001,HUB-IND,DRV-01006,VEH-0009,2025-12-03,30,3,completed
RTE-CHI-20251031-001,HUB-CHI,DRV-01020,VEH-0002,2025-10-31,62,0,completed
RTE-IND-20251209-001,HUB-IND,DRV-01031,VEH-0016,2025-12-09,51,1,partial
RTE-IND-20250911-001,HUB-IND,DRV-01006,VEH-0023,2025-09-11,49,0,completed
RTE-CMH-20250918-001,HUB-CMH,DRV-01036,VEH-0033,2025-09-18,31,0,completed
RTE-IND-20250531-001,HUB-IND,DRV-01031,VEH-0010,2025-05-31,63,0,completed
RTE-DET-20250910-001,HUB-DET,DRV-01022,VEH-0024,2025-09-10,36,0,completed
RTE-CIN-20250521-001,HUB-CIN,DRV-01026,VEH-0025,2025-05-21,55,0,completed
RTE-DET-20250606-001,HUB-DET,DRV-01021,VEH-0011,2025-06-06,21,0,completed
RTE-CIN-20250717-001,HUB-CIN,DRV-01029,VEH-0036,2025-07-17,50,0,completed
RTE-CHI-20250811-001,HUB-CHI,DRV-01047,VEH-0019,2025-08-11,41,0,completed
RTE-DET-20250912-001,HUB-DET,DRV-01037,VEH-0022,2025-09-12,53,0,completed
RTE-DET-20251130-001,HUB-DET,DRV-01004,VEH-0030,2025-11-30,24,1,partial
RTE-IND-20250322-001,HUB-IND,DRV-01042,VEH-0017,2025-03-22,30,0,completed
RTE-CMH-20250123-001,HUB-CMH,DRV-01043,VEH-0031,2025-01-23,21,0,completed
RTE-CHI-20251111-001,HUB-CHI,DRV-01011,VEH-0014,2025-11-11,47,5,partial
RTE-IND-20250311-001,HUB-IND,DRV-01024,VEH-0017,2025-03-11,48,0,completed
RTE-DET-20250305-001,HUB-DET,DRV-01004,VEH-0022,2025-03-05,26,0,completed
RTE-CIN-20251129-001,HUB-CIN,DRV-01023,VEH-0020,2025-11-29,61,0,completed
RTE-CIN-20250918-001,HUB-CIN,DRV-01023,VEH-0025,2025-09-18,27,0,completed
