note_id,route_id,driver_id,hub_id,timestamp,exception_type,body
DN-100000,RTE-IND-20250117-001,DRV-01031,HUB-IND,2025-01-17T11:15:00,weather,"[01/17 11:15] RTE-IND-20250117-001 / DRV-01031 @ IND
Snow/ice on route. 55 stops ATT, 2 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100001,RTE-CHI-20250121-002,DRV-01017,HUB-CHI,2025-01-21T15:05:00,address,"[01/21 15:05] RTE-CHI-20250121-002 / DRV-01017 @ CHI
Suite # missing, 4 stops undeliverable. Contacting account for update."
DN-100002,RTE-DET-20251130-001,DRV-01004,HUB-DET,2025-11-30T15:38:00,weather,"[11/30 15:38] RTE-DET-20251130-001 / DRV-01004 @ DET
Snow/ice on route. 24 stops ATT, 1 DEL to next day. Salt trucks late. ETA slippage all afternoon."
DN-100003,RTE-IND-20250113-002,DRV-01006,HUB-IND,2025-01-13T15:26:00,address,"[01/13 15:26] RTE-IND-20250113-002 / DRV-01006 @ IND
Bad address on SHP-202501-000070. Geocode off by ~3mi. Held for dispatch correction."
DN-100004,RTE-CMH-20251112-003,DRV-01044,HUB-CMH,2025-11-12T09:13:00,access,"[11/12 09:13] RTE-CMH-20251112-003 / DRV-01044 @ CMH
Dock closed early. 6 LTL stops could not unload. Rescheduling AM."
DN-100005,RTE-CMH-20251024-001,DRV-01016,HUB-CMH,2025-10-24T12:38:00,access,"[10/24 12:38] RTE-CMH-20251024-001 / DRV-01016 @ CMH
Dock closed early. 1 LTL stops could not unload. Rescheduling AM."
DN-100006,RTE-IND-20251211-005,DRV-01031,HUB-IND,2025-12-11T13:05:00,customer_nsf,"[12/11 13:05] RTE-IND-20251211-005 / DRV-01031 @ IND
Consignee refused delivery the stop. Return to hub initiated."
DN-100007,RTE-CMH-20250507-001,DRV-01018,HUB-CMH,2025-05-07T17:14:00,access,"[05/07 17:14] RTE-CMH-20250507-001 / DRV-01018 @ CMH
Dock closed early. 3 LTL stops could not unload. Rescheduling AM."
DN-100008,RTE-DET-20251224-003,DRV-01022,HUB-DET,2025-12-24T13:17:00,traffic,"[12/24 13:17] RTE-DET-20251224-003 / DRV-01022 @ DET
Accident on route, detour added. 4 DEL slipped past commit."
DN-100009,RTE-CHI-20251219-004,DRV-01011,HUB-CHI,2025-12-19T12:13:00,weather,"[12/19 12:13] RTE-CHI-20251219-004 / DRV-01011 @ CHI
Freezing rain. Driver DRV-01011 pulled early for safety. 6 stops rolled to tomorrow."
DN-100010,RTE-IND-20250214-002,DRV-01031,HUB-IND,2025-02-14T09:34:00,customer_nsf,"[02/14 09:34] RTE-IND-20250214-002 / DRV-01031 @ IND
the stop NSF - business closed. ATT 1440. Reattempt next biz day."
DN-100011,RTE-CHI-20251107-003,DRV-01005,HUB-CHI,2025-11-07T17:44:00,weather,"[11/07 17:44] RTE-CHI-20251107-003 / DRV-01005 @ CHI
Freezing rain. Driver DRV-01005 pulled early for safety. 1 stops rolled to tomorrow."
DN-100012,RTE-DET-20250326-004,DRV-01021,HUB-DET,2025-03-26T19:03:00,traffic,"[03/26 19:03] RTE-DET-20250326-004 / DRV-01021 @ DET
I-65 closure, major backup. ETA +90m. 1 stops missed cutoff."
