doc_id,client_id,driver_id,effective_date,doc_type,body
LGL-4000,CLI-0042,,2023-11-14,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Kellerman Industrial (CLI-0042).
Effective 2023-11-14. Referenced contract: CON-0042-01.
1. SERVICES. Meridian shall provide LTL logistics services in the IL region.
2. SERVICE LEVELS. Target on-time delivery of 97.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by N. Brightwater (Legal)."
LGL-4001,CLI-0007,,2022-04-16,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Northgate Retail Group (CLI-0007).
Effective 2022-04-16. Referenced contract: CON-0007-01.
1. SERVICES. Meridian shall provide last-mile logistics services in the OH region.
2. SERVICE LEVELS. Target on-time delivery of 97.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by S. Ackerman (Legal)."
LGL-4002,CLI-0113,,2022-12-29,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Veranda Home Goods (CLI-0113).
Effective 2022-12-29. Referenced contract: CON-0113-01.
1. SERVICES. Meridian shall provide last-mile logistics services in the OH region.
2. SERVICE LEVELS. Target on-time delivery of 95.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by S. Ackerman (Legal)."
LGL-4003,CLI-0128,,2024-03-09,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Brightline Components (CLI-0128).
Effective 2024-03-09. Referenced contract: CON-0128-01.
1. SERVICES. Meridian shall provide LTL logistics services in the MI region.
2. SERVICE LEVELS. Target on-time delivery of 95.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by S. Ackerman (Legal)."
LGL-4004,CLI-0155,,2023-07-28,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Pinewood Outfitters (CLI-0155).
Effective 2023-07-28. Referenced contract: CON-0155-01.
1. SERVICES. Meridian shall provide last-mile logistics services in the IN region.
2. SERVICE LEVELS. Target on-time delivery of 95.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by T. Ramachandran (Legal)."
LGL-4005,CLI-0169,,2024-06-24,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Cascade Beverage Co (CLI-0169).
Effective 2024-06-24. Referenced contract: CON-0169-01.
1. SERVICES. Meridian shall provide warehousing logistics services in the OH region.
2. SERVICE LEVELS. Target on-time delivery of 95.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by N. Brightwater (Legal)."
LGL-4006,CLI-0201,,2024-06-14,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Marlowe Stationery (CLI-0201).
Effective 2024-06-14. Referenced contract: CON-0201-01.
1. SERVICES. Meridian shall provide last-mile logistics services in the KY region.
2. SERVICE LEVELS. Target on-time delivery of 92.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by N. Brightwater (Legal)."
LGL-4007,CLI-0212,,2023-02-21,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Foundry Auto Parts (CLI-0212).
Effective 2023-02-21. Referenced contract: CON-0212-01.
1. SERVICES. Meridian shall provide LTL logistics services in the IN region.
2. SERVICE LEVELS. Target on-time delivery of 92.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by S. Ackerman (Legal)."
LGL-4008,CLI-0233,,2023-09-28,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Sunbelt Garden Supply (CLI-0233).
Effective 2023-09-28. Referenced contract: CON-0233-01.
1. SERVICES. Meridian shall provide last-mile logistics services in the OH region.
2. SERVICE LEVELS. Target on-time delivery of 92.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by N. Brightwater (Legal)."
LGL-4009,CLI-0244,,2024-02-07,MSA,"MASTER SERVICES AGREEMENT — Meridian Freight & Last-Mile and Halcyon Textiles (CLI-0244).
Effective 2024-02-07. Referenced contract: CON-0244-01.
1. SERVICES. Meridian shall provide warehousing logistics services in the KY region.
2. SERVICE LEVELS. Target on-time delivery of 92.0% measured monthly.
3. CREDITS. 1.0% of monthly spend credited per full percentage point below the SLA on-time target, capped at 10% of monthly spend.
4. TERM. Initial term of twenty-four (24) months, auto-renewing for successive twelve (12) month terms.
Prepared by S. Ackerman (Legal)."
