shipment_id,client_id,origin_hub_id,service_level,created_at,delivered_at,status,route_id
SHP-202501-000001,CLI-0169,HUB-DET,expedited,2025-01-13T19:47:00,2025-01-14T23:47:00,delivered,RTE-DET-20250113-002
SHP-202502-000001,CLI-0042,HUB-DET,freight,2025-02-25T09:12:00,2025-03-01T14:12:00,delivered,
SHP-202510-000001,CLI-0042,HUB-DET,freight,2025-10-23T06:33:00,2025-10-25T11:33:00,delivered,
SHP-202508-000001,CLI-0169,HUB-CIN,standard,2025-08-09T19:07:00,2025-08-13T03:07:00,delivered,RTE-CIN-20250810-001
SHP-202506-000001,CLI-0169,HUB-DET,standard,2025-06-08T14:08:00,2025-06-13T00:08:00,delivered,RTE-DET-20250609-001
SHP-202503-000001,CLI-0155,HUB-DET,standard,2025-03-31T06:19:00,2025-04-04T18:19:00,delivered,RTE-DET-20250331-004
SHP-202510-000002,CLI-0169,HUB-DET,standard,2025-10-24T16:13:00,2025-10-27T02:13:00,delivered,RTE-DET-20251024-006
SHP-202504-000002,CLI-0042,HUB-CHI,freight,2025-04-12T13:39:00,2025-04-13T20:39:00,delivered,
SHP-202510-000003,CLI-0201,HUB-DET,standard,2025-10-22T08:41:00,2025-10-23T20:41:00,delivered,RTE-DET-20251022-002
SHP-202508-000004,CLI-0155,HUB-CHI,standard,2025-08-14T11:57:00,2025-08-16T13:57:00,delivered,RTE-CHI-20250814-001
SHP-202510-000004,CLI-0042,HUB-IND,freight,2025-10-22T10:48:00,2025-10-26T18:48:00,delivered,
SHP-202504-000004,CLI-0155,HUB-DET,standard,2025-04-23T12:21:00,2025-04-27T23:21:00,delivered,RTE-DET-20250423-001
SHP-202510-000005,CLI-0201,HUB-CIN,standard,2025-10-01T06:05:00,2025-10-03T13:05:00,delivered,RTE-CIN-20251001-002
SHP-202504-000005,CLI-0201,HUB-IND,standard,2025-04-04T11:21:00,2025-04-08T15:21:00,delivered,RTE-IND-20250404-001
SHP-202508-000005,CLI-0007,HUB-DET,standard,2025-08-04T14:03:00,,returned,RTE-DET-20250804-002
SHP-202506-000002,CLI-0007,HUB-CMH,expedited,2025-06-29T09:12:00,2025-06-30T18:12:00,delivered,RTE-CMH-20250630-002
SHP-202506-000003,CLI-0201,HUB-DET,expedited,2025-06-09T09:04:00,2025-06-10T19:04:00,delivered,RTE-DET-20250609-002
SHP-202505-000002,CLI-0155,HUB-CIN,expedited,2025-05-05T18:36:00,2025-05-06T23:36:00,delivered,RTE-CIN-20250505-002
SHP-202509-000002,CLI-0169,HUB-CMH,standard,2025-09-30T11:00:00,2025-10-04T12:00:00,delivered,RTE-CMH-20250930-001
SHP-202510-000006,CLI-0201,HUB-IND,standard,2025-10-19T19:20:00,2025-10-22T00:20:00,delivered,RTE-IND-20251020-001
SHP-202512-000003,CLI-0155,HUB-IND,standard,2025-12-26T17:12:00,2025-12-28T20:12:00,delivered,RTE-IND-20251226-002
SHP-202509-000003,CLI-0007,HUB-CHI,standard,2025-09-26T11:11:00,2025-09-28T15:11:00,delivered,RTE-CHI-20250926-002
SHP-202506-000004,CLI-0042,HUB-IND,freight,2025-06-24T19:30:00,2025-06-26T01:30:00,delivered,
SHP-202509-000004,CLI-0042,HUB-CHI,freight,2025-09-09T08:51:00,2025-09-12T09:51:00,delivered,
SHP-202505-000004,CLI-0201,HUB-CIN,standard,2025-05-08T15:14:00,2025-05-12T22:14:00,delivered,RTE-CIN-20250508-003
SHP-202504-000006,CLI-0155,HUB-CMH,standard,2025-04-17T08:35:00,2025-04-18T14:35:00,delivered,RTE-CMH-20250418-002
SHP-202510-000008,CLI-0007,HUB-IND,standard,2025-10-09T07:49:00,2025-10-10T17:49:00,delivered,RTE-IND-20251009-002
SHP-202510-000009,CLI-0042,HUB-CHI,freight,2025-10-05T14:23:00,2025-10-10T00:23:00,delivered,
SHP-202503-000003,CLI-0042,HUB-CIN,freight,2025-03-23T12:05:00,2025-03-24T19:05:00,delivered,
SHP-202508-000011,CLI-0169,HUB-IND,standard,2025-08-17T14:24:00,2025-08-20T17:24:00,delivered,RTE-IND-20250817-001
SHP-202512-000005,CLI-0201,HUB-CHI,expedited,2025-12-24T12:02:00,2025-12-25T19:02:00,delivered,RTE-CHI-20251224-001
SHP-202512-000006,CLI-0201,HUB-DET,expedited,2025-12-28T18:52:00,2025-12-29T20:52:00,delivered,RTE-DET-20251228-001
SHP-202506-000006,CLI-0201,HUB-CMH,expedited,2025-06-23T19:43:00,2025-06-25T01:43:00,delivered,RTE-CMH-20250623-001
SHP-202502-000004,CLI-0007,HUB-CMH,standard,2025-02-16T17:19:00,2025-02-17T22:19:00,delivered,RTE-CMH-20250216-001
SHP-202501-000002,CLI-0169,HUB-DET,standard,2025-01-29T14:26:00,2025-01-31T16:26:00,delivered,RTE-DET-20250129-002
SHP-202503-000006,CLI-0201,HUB-CIN,standard,2025-03-31T13:58:00,2025-04-02T20:58:00,delivered,RTE-CIN-20250331-001
SHP-202511-000004,CLI-0155,HUB-CMH,expedited,2025-11-23T13:57:00,2025-11-24T21:57:00,delivered,RTE-CMH-20251124-003
SHP-202503-000007,CLI-0169,HUB-CIN,standard,2025-03-22T12:44:00,2025-03-25T15:44:00,delivered,RTE-CIN-20250322-002
SHP-202501-000003,CLI-0042,HUB-CIN,freight,2025-01-05T17:31:00,2025-01-09T05:31:00,delivered,
SHP-202504-000008,CLI-0169,HUB-CHI,standard,2025-04-28T15:16:00,2025-05-01T01:16:00,delivered,RTE-CHI-20250428-001
SHP-202507-000002,CLI-0155,HUB-CIN,standard,2025-07-08T16:23:00,2025-07-10T23:23:00,delivered,RTE-CIN-20250708-001
SHP-202512-000008,CLI-0201,HUB-CMH,standard,2025-12-25T06:19:00,,returned,RTE-CMH-20251225-003
SHP-202507-000003,CLI-0007,HUB-DET,standard,2025-07-23T09:41:00,2025-07-24T09:41:00,delivered,RTE-DET-20250723-002
SHP-202508-000014,CLI-0007,HUB-DET,standard,2025-08-04T11:32:00,2025-08-08T19:32:00,delivered,RTE-DET-20250804-001
SHP-202507-000004,CLI-0007,HUB-DET,expedited,2025-07-25T13:04:00,2025-07-26T18:04:00,delivered,RTE-DET-20250725-001
SHP-202511-000008,CLI-0007,HUB-CIN,standard,2025-11-04T08:42:00,2025-11-05T13:42:00,delivered,RTE-CIN-20251104-003
SHP-202510-000011,CLI-0155,HUB-CIN,standard,2025-10-12T12:54:00,2025-10-13T21:54:00,delivered,RTE-CIN-20251013-003
SHP-202512-000011,CLI-0155,HUB-CMH,standard,2025-12-03T17:48:00,2025-12-06T22:48:00,delivered,RTE-CMH-20251203-002
SHP-202509-000007,CLI-0201,HUB-DET,standard,2025-09-29T11:19:00,2025-09-30T11:19:00,delivered,RTE-DET-20250929-001
SHP-202505-000008,CLI-0007,HUB-CMH,standard,2025-05-11T12:11:00,2025-05-13T20:11:00,delivered,RTE-CMH-20250511-002
SHP-202507-000006,CLI-0042,HUB-DET,freight,2025-07-01T06:29:00,2025-07-04T15:29:00,delivered,
SHP-202508-000016,CLI-0201,HUB-IND,standard,2025-08-08T06:20:00,2025-08-12T17:20:00,delivered,RTE-IND-20250808-005
SHP-202507-000007,CLI-0007,HUB-CHI,standard,2025-07-05T12:33:00,2025-07-08T23:33:00,delivered,RTE-CHI-20250706-001
SHP-202508-000017,CLI-0155,HUB-IND,standard,2025-08-29T11:32:00,2025-09-02T18:32:00,delivered,RTE-IND-20250829-001
SHP-202501-000008,CLI-0155,HUB-CMH,standard,2025-01-20T19:05:00,2025-01-25T02:05:00,delivered,RTE-CMH-20250121-002
SHP-202510-000013,CLI-0042,HUB-DET,freight,2025-10-25T20:51:00,2025-10-28T01:51:00,delivered,
SHP-202507-000008,CLI-0169,HUB-CIN,standard,2025-07-18T16:41:00,2025-07-21T17:41:00,delivered,RTE-CIN-20250718-002
SHP-202510-000014,CLI-0155,HUB-IND,expedited,2025-10-13T16:58:00,2025-10-14T18:58:00,delivered,RTE-IND-20251013-002
SHP-202512-000014,CLI-0155,HUB-CIN,standard,2025-12-29T18:21:00,2025-12-31T04:21:00,delivered,RTE-CIN-20251229-002
SHP-202512-000015,CLI-0169,HUB-CMH,standard,2025-12-10T08:13:00,2025-12-14T11:13:00,delivered,RTE-CMH-20251210-001
SHP-202503-000011,CLI-0007,HUB-CIN,expedited,2025-03-21T19:47:00,2025-03-22T19:47:00,delivered,RTE-CIN-20250321-003
SHP-202508-000018,CLI-0169,HUB-CHI,expedited,2025-08-13T15:18:00,2025-08-15T03:18:00,delivered,RTE-CHI-20250813-001
SHP-202501-000009,CLI-0169,HUB-CIN,expedited,2025-01-27T17:54:00,2025-01-28T18:54:00,delivered,RTE-CIN-20250127-001
SHP-202501-000010,CLI-0201,HUB-CIN,standard,2025-01-14T12:05:00,2025-01-15T17:05:00,delivered,RTE-CIN-20250114-003
SHP-202511-000013,CLI-0007,HUB-IND,standard,2025-11-08T07:03:00,2025-11-12T08:03:00,delivered,RTE-IND-20251109-001
SHP-202509-000008,CLI-0042,HUB-CIN,freight,2025-09-13T15:15:00,2025-09-16T21:15:00,delivered,
SHP-202511-000014,CLI-0169,HUB-IND,expedited,2025-11-22T11:50:00,2025-11-23T14:50:00,delivered,RTE-IND-20251123-001
SHP-202502-000006,CLI-0007,HUB-DET,standard,2025-02-12T19:11:00,2025-02-15T20:11:00,delivered,RTE-DET-20250212-003
SHP-202502-000007,CLI-0155,HUB-IND,standard,2025-02-10T17:27:00,2025-02-14T22:27:00,delivered,RTE-IND-20250210-001
SHP-202508-000021,CLI-0169,HUB-CIN,expedited,2025-08-17T10:40:00,2025-08-18T10:40:00,delivered,RTE-CIN-20250817-001
SHP-202502-000008,CLI-0201,HUB-IND,standard,2025-02-08T17:43:00,2025-02-09T19:43:00,delivered,RTE-IND-20250208-001
SHP-202507-000011,CLI-0155,HUB-CHI,expedited,2025-07-07T06:47:00,2025-07-08T14:47:00,delivered,RTE-CHI-20250707-002
SHP-202503-000012,CLI-0155,HUB-DET,standard,2025-03-02T15:18:00,2025-03-06T18:18:00,delivered,RTE-DET-20250303-004
SHP-202503-000013,CLI-0007,HUB-DET,standard,2025-03-04T17:28:00,2025-03-13T17:28:00,delayed,RTE-DET-20250304-001
SHP-202506-000011,CLI-0007,HUB-CIN,standard,2025-06-13T20:19:00,2025-06-16T08:19:00,delivered,RTE-CIN-20250613-001
SHP-202507-000012,CLI-0007,HUB-CHI,expedited,2025-07-05T09:50:00,2025-07-06T14:50:00,delivered,RTE-CHI-20250706-003
SHP-202509-000009,CLI-0201,HUB-CIN,standard,2025-09-03T11:41:00,2025-09-07T21:41:00,delivered,RTE-CIN-20250903-003
SHP-202510-000018,CLI-0155,HUB-DET,standard,2025-10-07T18:43:00,2025-10-11T19:43:00,delivered,RTE-DET-20251007-002
SHP-202509-000012,CLI-0169,HUB-CHI,standard,2025-09-21T10:28:00,2025-09-22T10:28:00,delivered,RTE-CHI-20250921-001
SHP-202508-000022,CLI-0155,HUB-DET,standard,2025-08-28T12:32:00,2025-08-30T15:32:00,delivered,RTE-DET-20250828-003
SHP-202510-000019,CLI-0042,HUB-IND,freight,2025-10-26T13:38:00,2025-10-30T17:38:00,delivered,
SHP-202510-000020,CLI-0007,HUB-DET,standard,2025-10-02T10:46:00,2025-10-06T15:46:00,delivered,RTE-DET-20251002-002
