hr_doc_id,driver_id,doc_type,created_at,author,body
HR-6000,DRV-01001,onboarding,2018-10-13,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01001 (contractor), home hub HUB-CMH.
Hire date 2018-10-11. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6001,DRV-01002,onboarding,2019-06-14,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01002 (contractor), home hub HUB-CIN.
Hire date 2019-06-10. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6002,DRV-01003,onboarding,2023-12-05,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01003 (employee), home hub HUB-CIN.
Hire date 2023-12-02. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6003,DRV-01004,onboarding,2024-01-22,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01004 (contractor), home hub HUB-DET.
Hire date 2024-01-18. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
HR-6004,DRV-01005,onboarding,2022-06-27,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01005 (contractor), home hub HUB-CHI.
Hire date 2022-06-23. Completed orientation, safety briefing, and contractor agreement acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6005,DRV-01006,onboarding,2023-10-21,K. Ellsworth (People Ops),"ONBOARDING RECORD — driver DRV-01006 (employee), home hub HUB-IND.
Hire date 2023-10-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by K. Ellsworth (People Ops)."
HR-6006,DRV-01007,onboarding,2021-10-18,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01007 (employee), home hub HUB-CHI.
Hire date 2021-10-16. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6007,DRV-01008,onboarding,2020-06-25,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01008 (employee), home hub HUB-CIN.
Hire date 2020-06-21. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6008,DRV-01009,onboarding,2018-05-09,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01009 (employee), home hub HUB-CMH.
Hire date 2018-05-09. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6009,DRV-01010,onboarding,2021-02-19,R. Sandoval (People Ops),"ONBOARDING RECORD — driver DRV-01010 (employee), home hub HUB-CMH.
Hire date 2021-02-14. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by R. Sandoval (People Ops)."
HR-6010,DRV-01011,onboarding,2024-06-01,D. Marchetti (People Ops),"ONBOARDING RECORD — driver DRV-01011 (employee), home hub HUB-CHI.
Hire date 2024-05-27. Completed orientation, safety briefing, and employee handbook acknowledgment. Vehicle familiarization and route-app training complete. Filed by D. Marchetti (People Ops)."
