thread_id,channel,participants,started_at,linked_ids,body
SLK-9000,#dispatch,"@tina, @ray, @mcardenas, @gordon",2025-07-04T18:54:00,INC-2025-00099 RTE-CIN-20250704-002,"@tina: heads up, seeing an issue tied to INC-2025-00099 at Cincinnati~~NL~~@ray: on it. how many stops affected?~~NL~~@tina: route RTE-CIN-20250704-002, driver's holding for instructions~~NL~~@mcardenas: let's get a report filed~~NL~~@tina: thx. will update the thread"
SLK-9001,#fleet,"@curtis, @marla, @tina",2025-06-09T22:04:00,INC-2025-00061 RTE-IND-20250609-004,"@curtis: heads up, seeing an issue tied to INC-2025-00061 at Indianapolis~~NL~~@marla: ugh again? pulling the route now~~NL~~@curtis: route RTE-IND-20250609-004, exceptions piling up~~NL~~@tina: looping in ops lead~~NL~~@curtis: filed. see the incident record"
SLK-9002,#ops-ind,"@yolanda, @tina",2025-06-11T10:46:00,INC-2025-00193 RTE-IND-20250611-003,"@yolanda: heads up, seeing an issue tied to INC-2025-00193 at Indianapolis~~NL~~@tina: is this the same thing from this morning?~~NL~~@yolanda: route RTE-IND-20250611-003, we may need to reassign~~NL~~@yolanda: ok tracking"
SLK-9003,#dispatch,"@ray, @tina, @devon",2025-05-15T14:15:00,INC-2025-00207 RTE-DET-20250515-001,"@ray: heads up, seeing an issue tied to INC-2025-00207 at Detroit~~NL~~@tina: on it. how many stops affected?~~NL~~@ray: route RTE-DET-20250515-001, exceptions piling up~~NL~~@devon: customer already asking~~NL~~@ray: thx. will update the thread"
SLK-9004,#ops-cin,"@elaine, @tokafor, @marcus, @hank",2025-06-19T13:29:00,INC-2025-00182 RTE-CMH-20250619-003,"@elaine: heads up, seeing an issue tied to INC-2025-00182 at Columbus~~NL~~@tokafor: ugh again? pulling the route now~~NL~~@elaine: route RTE-CMH-20250619-003, exceptions piling up~~NL~~@marcus: k, I'll cover the reattempts~~NL~~@elaine: thx. will update the thread"
SLK-9005,#dispatch,"@gordon, @curtis",2025-03-13T18:23:00,INC-2025-00100 RTE-CHI-20250313-003,"@gordon: heads up, seeing an issue tied to INC-2025-00100 at Chicago~~NL~~@curtis: on it. how many stops affected?~~NL~~@gordon: ok tracking"
SLK-9006,#ops-cin,"@gordon, @mcardenas, @curtis, @devon",2025-03-03T17:04:00,INC-2025-00222,"@gordon: heads up, seeing an issue tied to INC-2025-00222 at Cincinnati~~NL~~@mcardenas: who's the driver on this one~~NL~~@curtis: customer already asking~~NL~~@gordon: ok tracking"
SLK-9007,#ops-ind,"@dana, @marla, @hank",2025-06-09T21:43:00,INC-2025-00061 RTE-IND-20250609-004,"@dana: heads up, seeing an issue tied to INC-2025-00061 at Indianapolis~~NL~~@marla: ugh again? pulling the route now~~NL~~@dana: route RTE-IND-20250609-004, exceptions piling up~~NL~~@hank: customer already asking~~NL~~@dana: filed. see the incident record"
SLK-9008,#ops-chi,"@rhalvorsen, @priya.n",2025-11-14T12:09:00,INC-2025-00007 RTE-CIN-20251114-001,"@rhalvorsen: heads up, seeing an issue tied to INC-2025-00007 at Cincinnati~~NL~~@priya.n: on it. how many stops affected?~~NL~~@rhalvorsen: route RTE-CIN-20251114-001, exceptions piling up~~NL~~@rhalvorsen: filed. see the incident record"
SLK-9009,#ops-cin,"@devon, @dana",2025-06-20T07:35:00,INC-2025-00031 RTE-CIN-20250620-001,"@devon: heads up, seeing an issue tied to INC-2025-00031 at Cincinnati~~NL~~@dana: is this the same thing from this morning?~~NL~~@devon: route RTE-CIN-20250620-001, driver's holding for instructions~~NL~~@devon: ok tracking"
SLK-9010,#ops-ind,"@sam, @tina, @ray",2025-06-19T13:05:00,INC-2025-00182 RTE-CMH-20250619-003,"@sam: heads up, seeing an issue tied to INC-2025-00182 at Columbus~~NL~~@tina: who's the driver on this one~~NL~~@ray: looping in ops lead~~NL~~@sam: filed. see the incident record"
SLK-9011,#ops-chi,"@yolanda, @devon, @marcus",2025-07-29T07:37:00,INC-2025-00078 RTE-CHI-20250729-005,"@yolanda: heads up, seeing an issue tied to INC-2025-00078 at Chicago~~NL~~@devon: ugh again? pulling the route now~~NL~~@yolanda: route RTE-CHI-20250729-005, exceptions piling up~~NL~~@marcus: looping in ops lead~~NL~~@yolanda: filed. see the incident record"
SLK-9012,#accounts,"@curtis, @tokafor, @rhalvorsen, @dana",2025-07-23T21:15:00,INC-2025-00108 RTE-IND-20250723-001,"@curtis: heads up, seeing an issue tied to INC-2025-00108 at Indianapolis~~NL~~@tokafor: ugh again? pulling the route now~~NL~~@curtis: route RTE-IND-20250723-001, driver's holding for instructions~~NL~~@rhalvorsen: k, I'll cover the reattempts~~NL~~@curtis: thx. will update the thread"
SLK-9013,#ops-chi,"@sandra, @tina, @yolanda, @ray",2025-07-24T20:31:00,INC-2025-00180 RTE-CHI-20250724-001,"@sandra: heads up, seeing an issue tied to INC-2025-00180 at Chicago~~NL~~@tina: ugh again? pulling the route now~~NL~~@yolanda: let's get a report filed~~NL~~@sandra: filed. see the incident record"
SLK-9014,#ops-cin,"@curtis, @marcus, @mcardenas",2025-11-28T16:29:00,INC-2025-00048,"@curtis: heads up, seeing an issue tied to INC-2025-00048 at Columbus~~NL~~@marcus: is this the same thing from this morning?~~NL~~@mcardenas: let's get a report filed~~NL~~@curtis: ok tracking"
SLK-9015,#ops-cmh,"@frank, @elaine, @yolanda, @rhalvorsen",2025-11-28T19:27:00,INC-2025-00048,"@frank: heads up, seeing an issue tied to INC-2025-00048 at Columbus~~NL~~@elaine: who's the driver on this one~~NL~~@yolanda: customer already asking~~NL~~@frank: thx. will update the thread"
