note_id,client_id,account_owner,call_date,note_type,sentiment,shipment_id,body
CRM-5000,CLI-0007,Dana Whitfield,2025-03-20,QBR,neutral,,"QBR — Jaffle Storefronts (CLI-0007), Q1 2025. Account owner: Dana Whitfield.~~NL~~Reviewed service performance against the 97.0% SLA on-time target; trailing-quarter on-time landed at 97.4% (roughly on target). Contract CON-0007-01.~~NL~~Overall sentiment neutral. Volume steady. Client asked about peak-season capacity planning. Line of business: last-mile, region OH."
CRM-5001,CLI-0007,Dana Whitfield,2025-06-16,QBR,positive,,"QBR — Jaffle Storefronts (CLI-0007), Q2 2025. Account owner: Dana Whitfield.~~NL~~Reviewed service performance against the 97.0% SLA on-time target; trailing-quarter on-time landed at 100.0% (above target). Contract CON-0007-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: last-mile, region OH."
CRM-5002,CLI-0007,Dana Whitfield,2025-09-16,QBR,positive,,"QBR — Jaffle Storefronts (CLI-0007), Q3 2025. Account owner: Dana Whitfield.~~NL~~Reviewed service performance against the 97.0% SLA on-time target; trailing-quarter on-time landed at 98.9% (above target). Contract CON-0007-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: last-mile, region OH."
CRM-5003,CLI-0007,Dana Whitfield,2025-12-22,QBR,positive,,"QBR — Jaffle Storefronts (CLI-0007), Q4 2025. Account owner: Dana Whitfield.~~NL~~Reviewed service performance against the 97.0% SLA on-time target; trailing-quarter on-time landed at 98.4% (above target). Contract CON-0007-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: last-mile, region OH."
CRM-5012,CLI-0155,Nora Behrevan,2025-03-21,QBR,neutral,,"QBR — Jaffle Crew Outfitters (CLI-0155), Q1 2025. Account owner: Nora Behrevan.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 95.1% (roughly on target). Contract CON-0155-01.~~NL~~Overall sentiment neutral. A few isolated exceptions discussed; no systemic concerns raised. Line of business: last-mile, region IN."
CRM-5013,CLI-0155,Nora Behrevan,2025-06-16,QBR,positive,,"QBR — Jaffle Crew Outfitters (CLI-0155), Q2 2025. Account owner: Nora Behrevan.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 98.7% (above target). Contract CON-0155-01.~~NL~~Overall sentiment positive. Strong quarter. Discussed expanding volume into new lanes. Line of business: last-mile, region IN."
CRM-5014,CLI-0155,Nora Behrevan,2025-09-18,QBR,positive,,"QBR — Jaffle Crew Outfitters (CLI-0155), Q3 2025. Account owner: Nora Behrevan.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 99.1% (above target). Contract CON-0155-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: last-mile, region IN."
CRM-5015,CLI-0155,Nora Behrevan,2025-12-17,QBR,positive,,"QBR — Jaffle Crew Outfitters (CLI-0155), Q4 2025. Account owner: Nora Behrevan.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 98.3% (above target). Contract CON-0155-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: last-mile, region IN."
CRM-5016,CLI-0169,Sam Calloway,2025-03-15,QBR,neutral,,"QBR — Jaffle Beverage Co (CLI-0169), Q1 2025. Account owner: Sam Calloway.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 94.2% (roughly on target). Contract CON-0169-01.~~NL~~Overall sentiment neutral. A few isolated exceptions discussed; no systemic concerns raised. Line of business: warehousing, region OH."
CRM-5017,CLI-0169,Sam Calloway,2025-06-20,QBR,positive,,"QBR — Jaffle Beverage Co (CLI-0169), Q2 2025. Account owner: Sam Calloway.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 100.0% (above target). Contract CON-0169-01.~~NL~~Overall sentiment positive. Strong quarter. Discussed expanding volume into new lanes. Line of business: warehousing, region OH."
CRM-5018,CLI-0169,Sam Calloway,2025-09-15,QBR,positive,,"QBR — Jaffle Beverage Co (CLI-0169), Q3 2025. Account owner: Sam Calloway.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 97.9% (above target). Contract CON-0169-01.~~NL~~Overall sentiment positive. Client happy with responsiveness; exploring expanded lanes next quarter. Line of business: warehousing, region OH."
CRM-5019,CLI-0169,Sam Calloway,2025-12-24,QBR,neutral,,"QBR — Jaffle Beverage Co (CLI-0169), Q4 2025. Account owner: Sam Calloway.~~NL~~Reviewed service performance against the 95.0% SLA on-time target; trailing-quarter on-time landed at 95.3% (roughly on target). Contract CON-0169-01.~~NL~~Overall sentiment neutral. A few isolated exceptions discussed; no systemic concerns raised. Line of business: warehousing, region OH."
CRM-5020,CLI-0155,Nora Behrevan,2025-09-09,call,positive,,"Call note — Jaffle Crew Outfitters (CLI-0155). Nora Behrevan spoke with the account contact. Quick check-in, nothing outstanding. Sentiment positive."
CRM-5025,CLI-0007,Marcus Trent,2025-03-10,call,positive,,Call note — Jaffle Storefronts (CLI-0007). Marcus Trent spoke with the account contact. Discussed a delayed shipment; account owner to follow up with ops. Sentiment positive.
CRM-5028,CLI-0169,Priya Rao,2025-03-13,call,neutral,,Call note — Jaffle Beverage Co (CLI-0169). Priya Rao spoke with the account contact. Reviewed a recent exception; reassured on remediation. Sentiment neutral.
CRM-5031,CLI-0201,Sam Calloway,2025-09-20,call,neutral,,Call note — Jaffle Paper & Packaging (CLI-0201). Sam Calloway spoke with the account contact. Discussed a delayed shipment; account owner to follow up with ops. Sentiment neutral.
CRM-5033,CLI-0155,Elaine Vasquez,2025-09-04,call,positive,,Call note — Jaffle Crew Outfitters (CLI-0155). Elaine Vasquez spoke with the account contact. Reviewed a recent exception; reassured on remediation. Sentiment positive.
CRM-9001,CLI-0042,Marcus Trent,2025-01-21,QBR,concerned,SHP-202501-900001,"QBR — Jaffle Equipment (CLI-0042), Q1 2025. Account owner: Marcus Trent.~~NL~~Tense call. The Jan 14-16 Chicago storm delayed a large batch of Jaffle Equipment freight (a representative affected shipment is linked on this note) and the client raised the jackknife incident (INC-2025-00417) directly. On-time for January will breach the 97.0% target. Client asked, pointedly, whether Jaffle Logistics can handle their peak volumes. Committed to an SLA credit per contract CON-0042-01 and a written recovery plan. Sentiment concerned; first real crack in the relationship this year."
CRM-9020,CLI-0042,Marcus Trent,2025-04-15,QBR,neutral,,"QBR — Jaffle Equipment (CLI-0042), Q1 2025. Account owner: Marcus Trent.~~NL~~Q1 review with Jaffle Equipment. January storm credit applied and closed out. On-time recovering but still below the 97% target. Client cautious but constructive. Watching. Contract CON-0042-01."
CRM-9021,CLI-0042,Marcus Trent,2025-07-16,QBR,concerned,,"QBR — Jaffle Equipment (CLI-0042), Q2 2025. Account owner: Marcus Trent.~~NL~~Q2 review. On-time slipped again despite no major weather. Jaffle Equipment flagged three late LTL loads this quarter and rising ticket volume, cause not yet identified. Opening a root-cause review ahead of Q3. Contract CON-0042-01."
CRM-9022,CLI-0042,Marcus Trent,2025-10-14,QBR,concerned,,"QBR — Jaffle Equipment (CLI-0042), Q3 2025. Account owner: Marcus Trent.~~NL~~Q3 review. On-time is materially under target. The January Chicago storm (INC-2025-00417) explains part of it, but a second, weather-independent pattern has emerged: repeated handling damage at the Columbus hub (INC-2025-00136, INC-2025-00241, INC-2025-00095). Opening a root-cause review ahead of Q4. Contract CON-0042-01."
CRM-9030,CLI-0042,Marcus Trent,2025-10-20,review,concerned,,"Q4 PERFORMANCE ROOT-CAUSE REVIEW — Jaffle Equipment (CLI-0042), contract CON-0042-01.~~NL~~Two contributing factors identified for 2025's on-time decline, documented separately: (1) the January 14-16 Chicago winter storm (INC-2025-00417, see IR-9001), a one-time weather event; (2) a recurring handling-damage pattern at the Columbus hub across three incidents in 2025 (INC-2025-00136, INC-2025-00241, INC-2025-00095, see IR-9003), pointing to a bay 3 forklift-staging issue rather than isolated events.~~NL~~Actions: (1) Columbus hub supervisor completing an SOP audit per IR-9003's remediation; (2) on-time tracked separately by cause (weather vs. handling) starting Q4 so recovery from each is visible independently. Owner: Marcus Trent. Review at Q1 2026 QBR."
