vehicle_id,hub_id,type,status,odometer
VEH-0001,HUB-CMH,van,active,66513
VEH-0002,HUB-CHI,box_truck,active,150964
VEH-0003,HUB-CMH,box_truck,active,32561
VEH-0004,HUB-CHI,van,active,155127
VEH-0005,HUB-CHI,box_truck,active,117974
VEH-0006,HUB-CHI,van,active,235881
VEH-0007,HUB-CMH,box_truck,active,118785
VEH-0008,HUB-IND,van,active,208145
VEH-0009,HUB-IND,van,active,102104
VEH-0010,HUB-IND,box_truck,maintenance,199294
VEH-0011,HUB-DET,box_truck,retired,107230
VEH-0012,HUB-CMH,box_truck,maintenance,170141
VEH-0013,HUB-IND,box_truck,active,20012
VEH-0014,HUB-CHI,box_truck,retired,232216
VEH-0015,HUB-CHI,semi,active,126858
VEH-0016,HUB-IND,van,active,183682
VEH-0017,HUB-IND,box_truck,active,26717
VEH-0018,HUB-CIN,box_truck,active,72175
VEH-0019,HUB-CHI,van,active,175772
VEH-0020,HUB-CIN,van,active,209408
VEH-0021,HUB-CMH,van,active,90694
VEH-0022,HUB-DET,van,active,156682
VEH-0023,HUB-IND,van,active,239914
VEH-0024,HUB-DET,van,active,203294
VEH-0025,HUB-CIN,box_truck,active,120311
VEH-0026,HUB-CIN,van,active,44262
VEH-0027,HUB-CIN,van,active,233732
VEH-0028,HUB-CMH,van,active,186384
VEH-0029,HUB-DET,box_truck,active,164208
VEH-0030,HUB-DET,box_truck,retired,233648
VEH-0031,HUB-CMH,box_truck,active,239941
VEH-0032,HUB-CIN,box_truck,active,97174
VEH-0033,HUB-CMH,van,active,8850
VEH-0034,HUB-IND,semi,active,141085
VEH-0035,HUB-CMH,semi,active,175496
VEH-0036,HUB-CIN,box_truck,active,207887
VEH-0037,HUB-CHI,box_truck,active,147029
VEH-0038,HUB-CMH,box_truck,active,37325
VEH-0039,HUB-IND,semi,maintenance,88612
VEH-0040,HUB-CHI,van,maintenance,28645
